,prefecture,year,night_light
2,北海道,2014,1.9101533889770508
3,北海道,2015,1.5266056060791016
4,北海道,2016,1.590172290802002
5,北海道,2017,1.7807559967041016
6,北海道,2018,1.3949999809265137
7,北海道,2019,1.4600000381469727
8,北海道,2020,1.4550000429153442
9,北海道,2021,1.6549999713897705
10,北海道,2022,1.684999942779541
11,北海道,2023,1.5750000476837158
12,北海道,2024,4.46999979
15,青森県,2014,16.36148452758789
16,青森県,2015,12.39731502532959
17,青森県,2016,10.43072224
18,青森県,2017,15.338614463806152
19,青森県,2018,14.5
20,青森県,2019,15.125
21,青森県,2020,13.565000534057617
22,青森県,2021,21.540000915527344
23,青森県,2022,21.040000915527344
24,青森県,2023,17.5
25,青森県,2024,3.0799999237060547
28,岩手県,2014,1.1862574081643713
29,岩手県,2015,1.1026223259842474
30,岩手県,2016,1.1501643343184071
31,岩手県,2017,1.447188080211485
32,岩手県,2018,1.426035677004307
33,岩手県,2019,1.3855446912181493
34,岩手県,2020,1.3349607239316648
35,岩手県,2021,1.4308246300305498
36,岩手県,2022,1.5566103258429853
37,岩手県,2023,1.4979274058446472
38,岩手県,2024,2.189279819
41,宮城県,2014,3.727662517905098
42,宮城県,2015,3.7118937169822304
43,宮城県,2016,3.4074857742362727
44,宮城県,2017,3.870552820828662
45,宮城県,2018,3.9515708656907216
46,宮城県,2019,3.7664531806419115
47,宮城県,2020,3.820289361194277
48,宮城県,2021,4.096099393692415
49,宮城県,2022,4.005955061840388
50,宮城県,2023,4.057864782674093
51,宮城県,2024,4.658382752216263
54,秋田県,2014,3.210982084274292
55,秋田県,2015,3.525411605834961
56,秋田県,2016,4.330482482910156
57,秋田県,2017,4.308149337768555
58,秋田県,2018,4.409999847412109
59,秋田県,2019,4.085000038146973
60,秋田県,2020,3.1449999809265137
61,秋田県,2021,2.0349998474121094
62,秋田県,2022,4.085000038146973
63,秋田県,2023,2.7950000762939453
64,秋田県,2024,0
67,山形県,2014,2.525356532661247
68,山形県,2015,2.451134588008844
69,山形県,2016,2.385782304275427
70,山形県,2017,2.809814383
71,山形県,2018,2.7390083842915134
72,山形県,2019,2.685439597232796
73,山形県,2020,2.490189036333403
74,山形県,2021,2.7303960663777223
75,山形県,2022,2.8926277786368537
76,山形県,2023,2.7597825691691917
77,山形県,2024,3.624439904775761
80,福島県,2014,1.4338422057475828
81,福島県,2015,1.3582869575152596
82,福島県,2016,1.2554385644554495
83,福島県,2017,1.5828712925384099
84,福島県,2018,1.5480053532014448
85,福島県,2019,1.4615926702405753
86,福島県,2020,1.4411659125965899
87,福島県,2021,1.5956045960798915
88,福島県,2022,1.6115160441864074
89,福島県,2023,1.5655014557768387
90,福島県,2024,1.746231740641206
93,茨城県,2014,5.377137431655145
94,茨城県,2015,5.651636096964842
95,茨城県,2016,5.310740708181383
96,茨城県,2017,5.843407467853238
97,茨城県,2018,5.900797487410035
98,茨城県,2019,6.023052592195289
99,茨城県,2020,5.645694542712396
100,茨城県,2021,5.7527650556778065
101,茨城県,2022,6.0817200108059675
102,茨城県,2023,6.0119418876506305
103,茨城県,2024,4.426717022
106,栃木県,2014,5.3295917437099405
107,栃木県,2015,5.205404808860274
108,栃木県,2016,4.946773260440493
109,栃木県,2017,5.5028372243733825
110,栃木県,2018,5.389130020162238
111,栃木県,2019,5.518346958
112,栃木県,2020,4.970342530544522
113,栃木県,2021,5.215340199375392
114,栃木県,2022,5.293952948679297
115,栃木県,2023,5.169407684285461
116,栃木県,2024,5.693436950158982
119,群馬県,2014,4.143539069741927
120,群馬県,2015,4.0455171685878915
121,群馬県,2016,3.756374317181932
122,群馬県,2017,4.372401874557943
123,群馬県,2018,4.3243352586850845
124,群馬県,2019,4.291570995492603
125,群馬県,2020,4.141930615956861
126,群馬県,2021,4.310507878771496
127,群馬県,2022,4.561326539560134
128,群馬県,2023,4.484207925328194
129,群馬県,2024,4.9424642422897795
132,埼玉県,2014,3.416353966647661
133,埼玉県,2015,3.103536864533214
134,埼玉県,2016,3.069102415735656
135,埼玉県,2017,3.5890265197533653
136,埼玉県,2018,3.890202344464903
137,埼玉県,2019,3.2435365894885075
138,埼玉県,2020,3.349115162401826
139,埼玉県,2021,2.8579806392796594
140,埼玉県,2022,3.555129148
141,埼玉県,2023,3.191252002608556
142,埼玉県,2024,2.740258405746783
145,千葉県,2014,65.28231389793329
146,千葉県,2015,60.91747016133306
147,千葉県,2016,50.83381077703426
148,千葉県,2017,54.53500840247325
149,千葉県,2018,47.584578431689415
150,千葉県,2019,48.84277681876804
151,千葉県,2020,40.26329855919037
152,千葉県,2021,37.614743049523746
153,千葉県,2022,42.99680666120295
154,千葉県,2023,43.91881875326579
155,千葉県,2024,37.940641185149794
158,東京都,2014,79.81692655446065
159,東京都,2015,74.51209204580796
160,東京都,2016,73.67007038767717
161,東京都,2017,86.18981063102014
162,東京都,2018,84.64502090452389
163,東京都,2019,87.43829032
164,東京都,2020,79.83987970351266
165,東京都,2021,80.21106379209537
166,東京都,2022,80.2403023
167,東京都,2023,84.90815580534068
168,東京都,2024,93.21343690440624
171,神奈川県,2014,23.08406390500872
172,神奈川県,2015,20.29852920703673
173,神奈川県,2016,16.246439998069505
174,神奈川県,2017,14.672443111291093
175,神奈川県,2018,21.159664154052734
176,神奈川県,2019,16.82957868897513
177,神奈川県,2020,11.377472373876678
178,神奈川県,2021,11.15398840957813
179,神奈川県,2022,12.429410827293824
180,神奈川県,2023,14.27710682622502
181,神奈川県,2024,13.359718740656135
184,新潟県,2014,13.437551498413086
185,新潟県,2015,9.274541854858398
186,新潟県,2016,10.486566543579102
187,新潟県,2017,9.235177993774414
188,新潟県,2018,10.68500042
