city,year,shinkansen_flag
さいたま市,1992,0
さいたま市,1993,0
さいたま市,1994,0
さいたま市,1995,0
さいたま市,1996,0
さいたま市,1997,0
さいたま市,1998,0
さいたま市,1999,0
さいたま市,2000,0
さいたま市,2001,0
さいたま市,2002,0
さいたま市,2003,0
さいたま市,2004,0
さいたま市,2005,0
さいたま市,2006,0
さいたま市,2007,0
さいたま市,2008,0
さいたま市,2009,0
さいたま市,2010,1
さいたま市,2011,1
さいたま市,2012,1
さいたま市,2013,1
さいたま市,2014,1
さいたま市,2015,1
さいたま市,2016,1
さいたま市,2017,1
さいたま市,2018,1
さいたま市,2019,1
さいたま市,2020,1
さいたま市,2021,1
みなかみ町,1992,0
みなかみ町,1993,0
みなかみ町,1994,0
みなかみ町,1995,0
みなかみ町,1996,0
みなかみ町,1997,0
みなかみ町,1998,0
みなかみ町,1999,0
みなかみ町,2000,0
みなかみ町,2001,0
みなかみ町,2002,0
みなかみ町,2003,0
みなかみ町,2004,0
みなかみ町,2005,0
みなかみ町,2006,0
みなかみ町,2007,0
みなかみ町,2008,0
みなかみ町,2009,0
みなかみ町,2010,0
みなかみ町,2011,0
みなかみ町,2012,0
みなかみ町,2013,0
みなかみ町,2014,0
みなかみ町,2015,0
みなかみ町,2016,0
みなかみ町,2017,0
みなかみ町,2018,0
みなかみ町,2019,0
みなかみ町,2020,0
みなかみ町,2021,0
一関市,1992,0
一関市,1993,0
一関市,1994,0
一関市,1995,0
一関市,1996,0
一関市,1997,0
一関市,1998,0
一関市,1999,0
一関市,2000,0
一関市,2001,0
一関市,2002,0
一関市,2003,0
一関市,2004,0
一関市,2005,0
一関市,2006,0
一関市,2007,0
一関市,2008,0
一関市,2009,0
一関市,2010,1
一関市,2011,1
一関市,2012,1
一関市,2013,1
一関市,2014,1
一関市,2015,1
一関市,2016,1
一関市,2017,1
一関市,2018,1
一関市,2019,1
一関市,2020,1
一関市,2021,1
七戸町,1992,0
七戸町,1993,0
七戸町,1994,0
七戸町,1995,0
七戸町,1996,0
七戸町,1997,0
七戸町,1998,0
七戸町,1999,0
七戸町,2000,0
七戸町,2001,0
七戸町,2002,0
七戸町,2003,0
七戸町,2004,0
七戸町,2005,0
七戸町,2006,0
七戸町,2007,0
七戸町,2008,0
七戸町,2009,0
七戸町,2010,1
七戸町,2011,1
七戸町,2012,1
七戸町,2013,1
七戸町,2014,1
七戸町,2015,1
七戸町,2016,1
七戸町,2017,1
七戸町,2018,1
七戸町,2019,1
七戸町,2020,1
七戸町,2021,1
三原市,1992,1
三原市,1993,1
三原市,1994,1
三原市,1995,1
三原市,1996,1
三原市,1997,1
三原市,1998,1
三原市,1999,1
三原市,2000,1
三原市,2001,1
三原市,2002,1
三原市,2003,1
三原市,2004,1
三原市,2005,1
三原市,2006,1
三原市,2007,1
三原市,2008,1
三原市,2009,1
三原市,2010,1
三原市,2011,1
三原市,2012,1
三原市,2013,1
三原市,2014,1
三原市,2015,1
三原市,2016,1
三原市,2017,1
三原市,2018,1
三原市,2019,1
三原市,2020,1
三原市,2021,1
三島市,1992,1
三島市,1993,1
三島市,1994,1
三島市,1995,1
三島市,1996,1
三島市,1997,1
三島市,1998,1
三島市,1999,1
三島市,2000,1
三島市,2001,1
三島市,2002,1
三島市,2003,1
三島市,2004,1
三島市,2005,1
三島市,2006,1
三島市,2007,1
三島市,2008,1
三島市,2009,1
三島市,2010,1
三島市,2011,1
三島市,2012,1
三島市,2013,1
三島市,2014,1
三島市,2015,1
三島市,2016,1
三島市,2017,1
三島市,2018,1
三島市,2019,1
三島市,2020,1
三島市,2021,1
